ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,GUIZO,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Chp des Territoires individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,8b1153c7637f
2026-05-25T05:55:04,LUCKY DE VAUCELLES,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Chp des Territoires individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,4b16a1987fc6
2026-05-25T05:55:04,APACHE DU ROND PRE,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Chp des Territoires individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,aff63ba92f4e
2026-05-25T05:55:04,FLIKA DE LA BOURDE,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Chp des Territoires individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,e9c8b6a7cc2d
2026-05-25T05:55:04,ROSE,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Chp des Territoires individuel,,1,100,cold-start,True,LightGBM,crawl-predict:c36a23a6,063c1a1b9080
2026-05-25T05:55:04,TOCCATA DU PONCET,Voir sa fiche,Equifun 50 cm,Club Poney Minime Chp des Territoires individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,7adac3fdaf31
2026-05-25T05:55:04,MELODY,Voir sa fiche,Equifun 50 cm,Club Poney Minime Chp des Territoires individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,1f3984bab72e
2026-05-25T05:55:04,FLIKA DE LA BOURDE,Voir sa fiche,Equifun 50 cm,Club Poney Minime Chp des Territoires individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,697adabdceb6
2026-05-25T05:55:04,HEIDI DE YAME,Voir sa fiche,Equifun 50 cm,Club Poney Minime Chp des Territoires individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,f9ee5e68e84c
2026-05-25T05:55:04,GEORGIO DU RANCH VERT,Voir sa fiche,Equifun 60 cm,Club Chp des Territoires individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,e61d3b085b1c
2026-05-25T05:55:04,TOCCATA DU PONCET,Voir sa fiche,Equifun 60 cm,Club Poney Cadet Chp des Territoires individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,8564f52355d1
